index,imp_11_1,idx_11_1,imp_11_2,idx_11_2,imp_11_3,idx_11_3,imp_14_1,idx_14_1,imp_14_2,idx_14_2,imp_14_3,idx_14_3,imp_17_1,idx_17_1,imp_17_2,idx_17_2,imp_17_3,idx_17_3,imp_21_1,idx_21_1,imp_21_2,idx_21_2,imp_21_3,idx_21_3,imp_22_1,idx_22_1,imp_22_2,idx_22_2,imp_22_3,idx_22_3
0,0.33533013685678076,389,0.33366647568205365,389,0.3298471882893789,389,0.22597045038295763,389,0.22672636292737458,389,0.2358960225062669,389,0.1969548807536995,389,0.19938295939180783,389,0.20817789693189287,389,0.31293610217890977,389,0.3111712591771964,389,0.3037562480692873,389,0.20512035285544863,389,0.21579447720524933,389,0.22445061727374566,389
1,0.1436414156294967,312,0.16091564167233238,312,0.15631554086605975,312,0.13277856628969256,312,0.13857912392782545,312,0.1446598031501638,312,0.09995544242252737,312,0.1080702394432129,312,0.1215120732408875,312,0.13744233854440066,312,0.15155808429779602,312,0.15145046836609605,312,0.17430066917359144,312,0.17536975097536525,312,0.17491673358893345,312
2,0.11943567199808018,388,0.11406995895318664,388,0.11175878276133404,388,0.08534651958535722,234,0.08454952193780119,234,0.08626450642799816,388,0.0844659146158566,377,0.08252437459415354,377,0.08583437705042468,377,0.11066241257236246,364,0.10075888255444133,364,0.09600550829844799,364,0.08886352359110344,364,0.08462572947419546,364,0.08257612214531289,234
3,0.097672006635592,234,0.09787886572272313,234,0.09845168147176815,234,0.08085165637695609,377,0.0814105924449955,388,0.07676910496091878,234,0.07426354611403156,338,0.07221774858005664,234,0.07582602997561508,234,0.09373392644809521,388,0.09254880540042609,388,0.09175827170528272,388,0.08696653246981659,234,0.08420918506739311,234,0.08141088543860825,364
4,0.09601079275387925,78,0.08709209246185129,78,0.087261858569338,78,0.07768432793144316,388,0.07999360278909817,377,0.07381476242682586,377,0.06784765458905215,234,0.07017429108783015,338,0.06852174764339368,338,0.08165796456846883,351,0.07807072281827457,351,0.07771559022633487,351,0.06509859233336387,78,0.06670414022112453,78,0.06623944082190227,78
5,0.09304119480930724,156,0.07901260554014126,156,0.0819058522403677,156,0.0714826354326656,156,0.07142924639523476,364,0.06997185672728543,364,0.0486490583152336,364,0.0480877530895318,325,0.053175289326993204,325,0.06897821428402524,338,0.06772000518843345,377,0.0672733375847247,377,0.061502276523393504,377,0.059702896637769634,0,0.06101516503295258,377
6,0.07891232068028692,377,0.07789148684725337,377,0.07595718488382733,377,0.06835688378752901,364,0.06769772391382674,156,0.06221105327264375,156,0.046297097070515346,156,0.046937904265294116,364,0.05013086290490313,156,0.0679762854576259,377,0.06333991906768308,338,0.06040731948171768,325,0.06105243673250241,384,0.058590844856034996,377,0.059270518278775296,0
7,0.06422051106813265,364,0.06267303918201694,364,0.06408738591626935,364,0.05816730816330424,78,0.05526558663368141,78,0.05326178201916525,0,0.04543329565529285,325,0.04591745222967666,156,0.047862342770890375,364,0.05937993686417556,325,0.05964018506793137,325,0.0586131877977559,338,0.059553984880641224,156,0.05730600362941624,156,0.05669298010539668,384
8,0.062109430877950844,385,0.06175105647638722,385,0.06135751315007057,385,0.05192652356521806,0,0.054778643773543155,0,0.050540024889004796,78,0.04100662520461176,286,0.038539782417077936,286,0.04237161755287115,313,0.0583273113573321,78,0.05734336959036427,78,0.057799000791180194,156,0.056421481921853416,0,0.05695377952875557,384,0.05630374852296283,156
9,0.058468179601362434,0,0.05527247829972783,0,0.056244924329566306,0,0.04259277366345243,338,0.04306100940266915,325,0.044306086947547715,325,0.037679128254796725,221,0.038286902502750624,313,0.03955230431912843,78,0.05773675383117331,384,0.054675075081314924,384,0.05749608826182145,78,0.048588296127475256,351,0.05577931420290412,388,0.05115021043194136,388
10,0.05101630691826544,338,0.049516395469466394,338,0.047559885354545514,338,0.038612169093062074,325,0.040492793048433645,338,0.040306688517116676,338,0.036311124619121844,313,0.037062784057165864,78,0.0393650669825164,351,0.05688437498894277,156,0.0538570010326714,156,0.055385692673815594,234,0.0467883380534495,388,0.049347210377703114,387,0.048478559768619624,387
11,0.04665759757031458,386,0.0442562173657356,325,0.04646379415721856,325,0.03261903370824328,235,0.03446872558694541,247,0.0361055773302909,387,0.035827837164294274,351,0.03660448409076787,351,0.036538781587029466,286,0.05003572259969928,383,0.04903269749815296,234,0.05226887665036447,384,0.04619684686227519,338,0.048281185102702434,338,0.04788908971241151,338
12,0.04586719161172049,325,0.04394181950006754,386,0.04188241217963862,386,0.03127551042017068,386,0.034444623614380096,387,0.030595639381487464,247,0.03383721602449173,0,0.036256217096430496,221,0.03545188268117527,0,0.04873320905542404,234,0.045896646885017364,311,0.049020599714943956,387,0.04249761627497402,387,0.04721419184846203,351,0.04402904722474856,351
13,0.0429526590461248,378,0.038531192596530595,384,0.03784706070361656,311,0.030966353015480255,351,0.0316284003600501,235,0.030544790900261028,235,0.033654747398222,78,0.033886671969320194,0,0.03450940735379082,221,0.048633969026864385,311,0.04559773917222714,0,0.04794722689070682,0,0.04002833564927504,325,0.037909484462629914,299,0.038434188038545807,325
14,0.04092169078698914,384,0.03698677396239622,378,0.03589102143058169,387,0.02897217595781846,387,0.028144337293321393,313,0.02834131730153164,351,0.03085627543978036,247,0.03128252431106015,247,0.030626316171522974,247,0.04655913105017957,0,0.04473749226873617,387,0.04701244989483569,383,0.036845958727940234,370,0.036469496029539604,325,0.03828285881805838,299
15,0.03685772047513418,311,0.0368648418194585,311,0.03437225263824586,221,0.02847679094083771,247,0.027545552167481883,385,0.027365331957058987,299,0.029171599715011633,13,0.02903550131836935,13,0.027618612560491602,13,0.039797611865058174,387,0.04467241483992937,383,0.04096955028843839,311,0.036280169527851416,324,0.035019990776698914,370,0.03086519746101129,313
16,0.03504993628469856,351,0.033520373072405726,387,0.03268075414592827,378,0.027653555857553976,299,0.027059476765352357,299,0.02683433897140689,313,0.025581598487973943,39,0.02530550493840482,39,0.024880591604576268,39,0.03306153209520637,365,0.033843682936463323,235,0.033047012126594486,365,0.03616793290831308,182,0.03484481704138049,182,0.030473221315558803,182
17,0.033221870094730405,387,0.03207842709582293,310,0.03193124498301182,384,0.025797337901030084,313,0.026861546551848962,351,0.026590979913608755,385,0.02338038026542726,91,0.023789548066251522,91,0.02226466150267147,388,0.030576698240580565,371,0.030930918457119285,371,0.029267714037552527,371,0.0338135907892205,299,0.03437135134035028,385,0.029987953288866907,385
18,0.03085713806281887,383,0.03097190271687755,221,0.03062375656684251,351,0.025609707663892756,384,0.026296235593241374,386,0.025811957942874154,386,0.022709182742649155,65,0.02139043948221489,130,0.022175578446448123,91,0.028157984923375932,235,0.030790653938778452,365,0.028709043468213312,235,0.031818686607048015,313,0.033129395983060785,235,0.02911124095128171,235
19,0.03078192287234831,260,0.03008365797617496,351,0.029045646697141006,310,0.025235049987016856,91,0.02598036759033796,53,0.024944332118484097,76,0.022695168545106982,49,0.020800502047599298,49,0.01980848466142839,130,0.02684979711238914,286,0.028115761026392586,350,0.0275532825132754,350,0.02885647920452656,235,0.032998998059653804,324,0.02784557068605207,324
